ds,dan,temp,r_hum,co_2,aqi_i,temp_e,r_hum_e,press,wind_s,wind_a,aqi_e
2021-01-17 20:00:00,7.0,24.3858,43.63299,1386.216,89.01966,-4.22,100.0,1016.0,2.57,300.0,165.0
2021-01-17 21:00:00,7.0,24.3858,43.63299,1386.216,89.01966,-4.22,100.0,1016.0,2.57,300.0,165.0
2021-01-17 22:00:00,7.0,24.3858,43.63299,1386.216,89.01966,-4.22,100.0,1016.0,2.57,300.0,165.0
2021-01-17 23:00:00,7.0,24.3858,43.63299,1386.216,89.01966,-4.22,100.0,1016.0,2.57,300.0,165.0
2021-01-18 00:00:00,7.0,24.3858,43.63299,1386.216,89.01966,-4.22,100.0,1016.0,2.57,300.0,165.0
2021-01-18 10:00:00,1.0,24.404376666666668,42.925293333333336,1099.137,80.70332,-4.609999999999999,93.0,1022.0,0.495,158.0,91.0
2021-01-18 11:00:00,1.0,25.75206,42.59545666666667,1182.6183333333333,80.12647666666668,-4.22,86.0,1022.0,0.51,0.0,51.666666666666664
2021-01-18 12:00:00,1.0,26.454026666666667,42.25247666666667,1194.8236666666664,79.04539666666666,-2.5,57.5,1022.0,1.5350000000000001,320.0,90.66666666666667
2021-01-18 13:00:00,1.0,26.95123,42.06992666666667,1242.774666666667,79.6578,0.0,47.0,1022.0,1.01,320.0,36.666666666666664
2021-01-18 14:00:00,1.0,27.424329999999998,41.87569666666667,1305.4196666666667,78.60140999999999,-2.11,50.0,1022.0,1.54,320.0,78.33333333333333
2021-01-18 15:00:00,1.0,27.615516666666668,41.615730000000006,1317.8783333333333,79.60158333333334,-2.69,50.0,1022.0,1.03,0.0,63.0
2021-01-18 16:00:00,1.0,27.760559999999998,41.35952,1287.7323333333334,79.12214999999999,-2.69,50.0,1022.0,1.03,0.0,NaN
2021-01-18 17:00:00,1.0,28.102986666666666,41.46144666666667,1395.7540000000001,80.98571666666668,-8.17,93.0,1022.0,0.37,232.0,30.333333333333332
2021-01-18 18:00:00,1.0,28.500853333333335,41.65790666666667,1743.684,83.27851666666668,-7.11,93.0,1022.0,2.57,120.0,26.333333333333332
2021-01-18 19:00:00,1.0,28.65241333333334,41.399386666666665,1706.7816666666665,85.14784666666667,-6.06,86.0,1023.0,1.54,110.0,40.0
2021-01-18 20:00:00,1.0,28.83766,41.23051,1620.2976666666666,85.19076666666666,-6.06,86.0,1023.0,2.06,140.0,106.66666666666667
2021-01-18 21:00:00,1.0,29.09951666666667,41.10799333333333,1806.0246666666665,110.04093333333333,-6.06,86.0,1023.0,1.0266666666666666,46.666666666666664,151.66666666666666
2021-01-18 22:00:00,1.0,29.259416666666667,40.81369,1702.2060000000001,97.57839333333334,-5.353333333333333,86.0,1023.6666666666666,0.8566666666666668,0.0,151.66666666666666
2021-01-18 23:00:00,1.0,28.203933333333328,39.58488333333333,1098.1516666666669,91.26171333333333,-5.706666666666666,95.33333333333333,1024.0,1.7166666666666668,100.0,161.33333333333334
2021-01-19 00:00:00,2.0,27.30385,39.307649999999995,901.7327333333333,88.35237666666667,-6.06,100.0,1024.0,0.9133333333333332,179.33333333333334,180.66666666666666
2021-01-19 01:00:00,2.0,26.812623333333335,39.011936666666664,830.6184666666667,87.83195,-6.06,100.0,1024.0,0.44,63.666666666666664,181.66666666666666
2021-01-19 02:00:00,2.0,26.45935,38.73045,799.4541333333333,85.98394666666667,-6.06,100.0,1024.0,0.4666666666666666,117.0,177.33333333333334
2021-01-19 03:00:00,2.0,26.099216666666667,38.49689,784.7909,86.11445333333334,-6.06,100.0,1025.0,1.03,0.0,125.0
2021-01-19 04:00:00,2.0,25.769186666666666,38.29172333333333,767.0875333333333,85.52290666666666,-6.06,100.0,1025.0,0.6833333333333332,0.0,188.33333333333334
2021-01-19 05:00:00,2.0,25.438573333333334,38.00648,747.6433000000001,84.13470666666666,-6.760000000000001,100.0,1024.3333333333333,0.8566666666666668,226.66666666666666,187.0
2021-01-19 06:00:00,2.0,25.23585,37.956253333333336,773.4862333333332,83.35276,-8.703333333333333,100.0,1024.6666666666667,1.2,153.33333333333334,188.66666666666666
2021-01-19 07:00:00,2.0,26.450636666666668,38.967553333333335,1183.6829333333333,85.83984666666667,-10.666666666666666,100.0,1025.0,1.2,40.0,185.66666666666666
2021-01-19 08:00:00,2.0,27.549940000000003,39.67570666666666,1427.1786666666667,87.31862666666666,-10.5,100.0,1025.0,0.51,0.0,124.66666666666667
2021-01-19 09:00:00,2.0,28.258643333333335,40.58971333333333,1592.0726666666667,86.60018333333333,-9.333333333333334,100.0,1025.0,0.51,0.0,186.0
2021-01-19 10:00:00,2.0,29.047996666666666,40.14325,1613.3463333333336,87.25444666666665,-6.5,100.0,1025.5,0.51,0.0,123.66666666666667
2021-01-19 11:00:00,2.0,29.24633,39.92999666666667,1594.6899999999998,90.53309666666667,-3.3333333333333335,76.0,1025.0,0.51,193.33333333333334,214.33333333333334
2021-01-19 12:00:00,2.0,29.364956666666668,39.82291,1596.054666666667,95.33735666666666,-0.8266666666666667,69.0,1024.0,0.8566666666666668,0.0,219.0
2021-01-19 13:00:00,2.0,29.456266666666664,39.69761,1507.2883333333332,98.58797666666668,1.6966666666666665,58.0,1023.0,1.03,0.0,226.0
2021-01-19 14:00:00,2.0,29.58772,39.72571666666667,1555.5596666666668,96.26868666666667,2.075,53.5,1022.0,0.51,0.0,154.33333333333334
2021-01-19 15:00:00,2.0,29.337645000000002,39.89128,1545.9165,99.929135,1.3,60.0,1022.0,0.77,0.0,260.5
